wwtp_id,county_fips,county,state,population_served,sample_location,normalization_method,per_capita_flow_rate,start_date,end_date,days,loss,sm,lt,rd,k,half_life
1366,42043,Dauphin,Pennsylvania,124000,Treatment plant,flow-population,7948.434969792321,2022-07-04,2022-12-07,156,0.011028928682208,4025019130843.183,14,0.4040000000000001,0.5175146119167875,1.3390926247149697
1359,42049,Erie,Pennsylvania,200000,Treatment plant,flow-population,10850.74682084066,2022-07-05,2022-12-06,154,1752884.625,2.329352426110717e+16,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1367,42055,Franklin,Pennsylvania,67000,Treatment plant,flow-population,643.09798895635,2022-07-05,2022-12-06,154,13627.5244140625,202060234962466.28,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1529,42063,Indiana,Pennsylvania,28809,Treatment plant,flow-population,2913.935789329212,2022-07-04,2022-12-07,156,0.0370388440787792,1525588067729.254,8,0.376,0.4716049106127096,1.4694503479610797
1617,42069,Lackawanna,Pennsylvania,88000,Treatment plant,flow-population,530.0839659374055,2022-09-28,2022-12-14,77,0.1722740978002548,1558003737503.8142,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1357,42091,Montgomery,Pennsylvania,30000,Treatment plant,flow-population,3118.7299941702768,2022-07-10,2022-12-06,149,0.0895210355520248,2798816684634.0063,9,0.383,0.4828862550767492,1.435120574906104
1081,42091,Montgomery,Pennsylvania,13000,Treatment plant,flow-population,3657.051681751392,2022-05-02,2022-12-14,226,0.0712004080414772,7366049634363.776,14,0.4820000000000001,0.6577800367226544,1.0535436792104953
1083,42091,Montgomery,Pennsylvania,10000,Before treatment plant,flow-population,4699.995735592286,2022-05-02,2022-12-14,226,0.0922727212309837,10653011001898.783,2,0.4550000000000001,0.6069694843188931,1.141737793915036
1549,45045,Greenville,South Carolina,140280,Treatment plant,flow-population,602.3477755474648,2022-09-26,2022-12-14,79,0.4750763773918152,75080682823844.97,14,0.3,0.3566749439387324,1.94294556367559
1607,47023,Chester,Tennessee,3710,Treatment plant,flow-population,298.2260142756296,2022-10-10,2022-12-14,65,0.1842149347066879,3801709711178.855,14,0.3,0.3566749439387324,1.94294556367559
1329,47157,Shelby,Tennessee,300000,Treatment plant,flow-population,2692.843119543901,2022-07-13,2022-12-14,154,0.1151082590222358,603055037632170.0,14,0.3,0.3566749439387324,1.94294556367559
1323,47157,Shelby,Tennessee,300000,Treatment plant,flow-population,2529.865135275574,2022-07-11,2022-12-14,156,0.1205861940979957,438585653179680.0,14,0.3,0.3566749439387324,1.94294556367559
1231,48113,Dallas,Texas,500000,Treatment plant,flow-population,1369.447352864343,2022-06-15,2022-12-14,182,28882.357421875,5242462952232255.0,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1080,50007,Chittenden,Vermont,31000,Treatment plant,flow-population,4730.607633037773,2022-05-01,2022-12-13,226,0.0605574622750282,1944578725226.8352,12,0.3,0.3566749439387324,1.94294556367559
701,50007,Chittenden,Vermont,8500,Treatment plant,flow-population,10284.325186023549,2022-06-14,2022-12-13,182,0.394121915102005,4870247954022.642,13,0.3,0.3566749439387324,1.94294556367559
1751,50007,Chittenden,Vermont,22000,Treatment plant,flow-population,962.0211195020796,2022-11-30,2022-12-14,14,0.2762522101402282,23479845687772.613,1,0.3,0.3566749439387324,1.94294556367559
220,51179,Stafford,Virginia,44000,Treatment plant,flow-population,68.61678606993694,2021-09-13,2022-12-12,455,74247.3671875,83233856864538.8,0,0.5000000000000002,0.6931471805599457,0.999787663336051
510,53011,Clark,Washington,81140,Treatment plant,flow-population,610.8728472914217,2022-05-01,2022-12-13,226,0.0321807973086833,6541446598966.449,2,0.379,0.4764241970486583,1.4545860690808328
1084,53011,Clark,Washington,120000,Treatment plant,flow-population,642.5770236752069,2022-05-02,2022-12-14,226,0.0359746776521205,4437848032637.317,0,0.378,0.4748151862429577,1.4595152389363542
499,53011,Clark,Washington,162100,Treatment plant,flow-population,664.3035990028247,2022-05-01,2022-12-13,226,0.0830018371343612,4069149778684.323,14,0.5000000000000002,0.6931471805599457,0.999787663336051
804,53011,Clark,Washington,16950,Treatment plant,flow-population,443.8196944338498,2022-06-21,2022-12-14,176,0.0733332633972168,42181517597712.09,14,0.4700000000000001,0.63487827243597,1.0915478290681175
1353,56033,Sheridan,Wyoming,20000,Treatment plant,flow-population,680.3803502592882,2022-07-26,2022-12-13,140,0.0755754932761192,1626021829649.9285,5,0.369,0.4604494164409239,1.5050513156398202
1333,1033,Colbert,Alabama,19000,Treatment plant,flow-population,406.9500485976681,2022-07-17,2022-12-13,149,0.0439128763973712,357243807514.8431,14,0.344,0.4215944900380481,1.6437596229909406
1464,1081,Lee,Alabama,72000,Treatment plant,flow-population,829.9628461541979,2022-08-22,2022-12-14,114,0.0170651450753211,988379392256.079,6,0.357,0.4416105547445176,1.5692559712503185
1394,1117,Shelby,Alabama,11000,Treatment plant,flow-population,394.83138017035446,2022-08-02,2022-12-13,133,0.0799160748720169,323367769700.54254,0,0.374,0.4684049078820387,1.4794891947940956
1490,2110,Juneau,Alaska,10000,Treatment plant,flow-population,540.1349088932817,2022-08-29,2022-12-12,105,0.1246624067425727,6328795087982.662,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1491,2110,Juneau,Alaska,20000,Treatment plant,flow-population,349.65055764647,2022-08-29,2022-12-13,106,0.0616966262459754,1583595110951.1987,5,0.343,0.4200712604975265,1.6497200955362203
501,4012,La Paz,Arizona,3500,Treatment plant,flow-population,544.3339488811714,2022-06-22,2022-12-14,175,0.0796397551894187,834994825909.7086,14,0.5000000000000002,0.6931471805599457,0.999787663336051
808,4015,Mohave,Arizona,37500,Treatment plant,flow-population,568.7527687746476,2022-05-01,2022-12-13,226,0.0141067234799265,1025187618110.8997,14,0.4000000000000001,0.5108256237659909,1.3566273259570532
715,4019,Pima,Arizona,397407,Treatment plant,flow-population,1471.5516778288986,2022-05-11,2022-12-14,217,12980614.0,2.943813303879098e+17,0,0.5000000000000002,0.6931471805599457,0.999787663336051
590,4019,Pima,Arizona,347900,Treatment plant,flow-population,1358.5100978455696,2022-05-11,2022-12-14,217,2519136.5,8.728984807240037e+16,0,0.5000000000000002,0.6931471805599457,0.999787663336051
