sampling_week,effective_concentration_rolling_average,population,region
2021-09-01,564.6562111846397,"300,000-1,000,000",Midwest
2021-09-01,824.9138904508567,"3,000,000-10,000,000",Nationwide
2021-09-01,368.9723375904741,"3,000,000-10,000,000",Northeast
2021-09-01,1314.0813456161816,"3,000,000-10,000,000",South
2021-09-01,380.18774092882114,"300,000-1,000,000",West
2021-09-08,554.9392260664216,"300,000-1,000,000",Midwest
2021-09-08,736.6163616254457,"3,000,000-10,000,000",Nationwide
2021-09-08,342.32939863697715,"3,000,000-10,000,000",Northeast
2021-09-08,1175.890138995473,"3,000,000-10,000,000",South
2021-09-08,410.0639818840799,"300,000-1,000,000",West
2021-09-15,605.6274629244448,"300,000-1,000,000",Midwest
2021-09-15,592.8030866317664,"3,000,000-10,000,000",Nationwide
2021-09-15,404.414004026191,"3,000,000-10,000,000",Northeast
2021-09-15,772.1841892368352,"3,000,000-10,000,000",South
2021-09-15,456.3529478934907,"300,000-1,000,000",West
2021-09-22,514.583962190619,"300,000-1,000,000",Midwest
2021-09-22,469.9073985996016,"3,000,000-10,000,000",Nationwide
2021-09-22,429.0790876319359,"3,000,000-10,000,000",Northeast
2021-09-22,507.9854927040931,"3,000,000-10,000,000",South
2021-09-22,385.8130897368291,"300,000-1,000,000",West
2021-09-29,513.216583641466,"300,000-1,000,000",Midwest
2021-09-29,471.93267075793386,"3,000,000-10,000,000",Nationwide
2021-09-29,533.4218128363223,"3,000,000-10,000,000",Northeast
2021-09-29,409.6295904530692,"3,000,000-10,000,000",South
2021-09-29,464.3564771617927,"300,000-1,000,000",West
2021-10-06,464.9846364565727,"300,000-1,000,000",Midwest
2021-10-06,461.1962507884791,"10,000,000-30,000,000",Nationwide
2021-10-06,594.0987960531697,"3,000,000-10,000,000",Northeast
2021-10-06,341.8547207376004,"3,000,000-10,000,000",South
2021-10-06,539.6136875258202,"300,000-1,000,000",West
2021-10-13,464.0047974755572,"300,000-1,000,000",Midwest
2021-10-13,385.61334137149487,"3,000,000-10,000,000",Nationwide
2021-10-13,503.3418169369834,"3,000,000-10,000,000",Northeast
2021-10-13,271.00902698378394,"3,000,000-10,000,000",South
2021-10-13,369.9339456090309,"300,000-1,000,000",West
2021-10-20,403.1922130911453,"300,000-1,000,000",Midwest
2021-10-20,395.4962251241779,"3,000,000-10,000,000",Nationwide
2021-10-20,483.6178303880636,"3,000,000-10,000,000",Northeast
2021-10-20,279.7929256174909,"3,000,000-10,000,000",South
2021-10-20,534.8241990753897,"300,000-1,000,000",West
2021-10-27,392.1614674705165,"300,000-1,000,000",Midwest
2021-10-27,480.2219327228427,"3,000,000-10,000,000",Nationwide
